"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
"ABS-7 (Koreasat 3, Mugungwha 3)",Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,04-09-99,Guiana Space Center,5.2079;-52.7724,Ariane
"ABS-2 (Koreasat-8, ST-3)",Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,06-02-14,Guiana Space Center,5.2079;-52.7724,Ariane  5 ECA
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,10-01-01,Guiana Space Center,5.2079;-52.7724,Ariane 4
Eutelsat 8 West A (Atlantic Bird 2) ,France,Eutelsat S.A.,Commercial,Communications,GEO,25-09-01,Guiana Space Center,5.2079;-52.7724,Ariane 4
Galaxy-11,United States of America,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,21-01-99,Guiana Space Center,5.2079;-52.7724,Ariane 4
INSAT 3C (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,23-01-02,Guiana Space Center,5.2079;-52.7724,Ariane 4
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,02-12-97,Guiana Space Center,5.2079;-52.7724,Ariane 4
NSS-6 ,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,17-12-02,Guiana Space Center,5.2079;-52.7724,Ariane 4
Intelsat 805 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,18-06-98,Guiana Space Center,5.2079;-52.7724,Ariane 42L
NSS-5 (Intelsat 803),Netherlands,SES World Skies/Intelsat [SES] (shared capacity),Commercial,Communications,GEO,23-09-97,Guiana Space Center,5.2079;-52.7724,Ariane 42L
NSS-7 ,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,16-04-02,Guiana Space Center,5.2079;-52.7724,Ariane 42L
Astra 1D ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,01-11-94,Guiana Space Center,5.2079;-52.7724,Ariane 42P
MSAT 1 ,United States of America/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,20-04-96,Guiana Space Center,5.2079;-52.7724,Ariane 42P
Afristar ,United States of America,1Worldspace,Commercial,Communications,GEO,28-10-98,Guiana Space Center,5.2079;-52.7724,Ariane 44L
"AMC-2 (Americom 2, GE-2)",United States of America,SES World Skies,Commercial,Communications,GEO,30-01-97,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Anik F1 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,21-11-00,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Astra 3A ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,29-03-02,Guiana Space Center,5.2079;-52.7724,Ariane 44L
INMARSAT 3 F4 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,03-06-97,Guiana Space Center,5.2079;-52.7724,Ariane 44L
INMARSAT 3 F5 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,04-02-98,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 701 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,22-10-93,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 902 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,30-08-01,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 903 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,30-03-02,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 905 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,05-06-02,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 906 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,06-09-02,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Intelsat 907 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,15-02-03,Guiana Space Center,5.2079;-52.7724,Ariane 44L
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,07-10-00,Guiana Space Center,5.2079;-52.7724,Ariane 44L
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,29-03-02,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,14-11-96,Guiana Space Center,5.2079;-52.7724,Ariane 44L
NSS-806 (Intelsat 806),Netherlands,SES/Intelsat (SES [Société Européenne des Satellites (SES)]) (shared capacity),Commercial,Communications,GEO,19-02-98,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Palapa C2 ,Indonesia,PT Indosat,Commercial,Communications,GEO,15-05-96,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Sicral 1A ,Italy,Italian Defense Ministry,Military,Communications,GEO,07-02-01,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Skynet 4E ,United Kingdom,Ministry of Defence,Military,Communications,GEO,26-02-99,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Skynet 4F ,United Kingdom,Ministry of Defence,Military,Communications,GEO,07-02-01,Guiana Space Center,5.2079;-52.7724,Ariane 44L
Superbird-B2 (Superbird 4),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,18-02-00,Guiana Space Center,5.2079;-52.7724,Ariane 44L
"AMC-4 (Americom-4, GE-4)",United States of America,SES World Skies,Commercial,Communications,GEO,13-11-99,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Brazilsat B-2 (Brasilsat B-2),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Military/Commercial,Communications,GEO,28-03-95,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Brazilsat B-3 (Brasilsat B-3),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,04-02-98,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Brazilsat B-4 (Brasilsat B-4),Brazil,Star One (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,17-08-00,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
DirecTV-4S ,United States of America,"DirecTV, Inc.",Commercial,Communications,GEO,27-11-01,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
"Intelsat 12 (Europe*Star 1, Europe*Star FM1, IS-12, PAS-12)",United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,29-10-00,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Intelsat 702 ,United States of America,"Intelsat, S.A.",Commercial,Communications,GEO,17-06-94,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Nilesat 102 ,Egypt,Egyptian Radio and TV Union ,Government,Communications,GEO,17-08-00,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Skynet 4C ,United Kingdom,Intelsat/Paradigm Secure Communications (wholly owned by EADS Astrium),Military,Communications,GEO,30-08-90,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Telstar 12 (Orion 2),France,Eutelsat -- leased from Loral Skynet Satellite Services (Loral Global Alliance) ,Commercial,Communications,GEO,19-10-99,Guiana Space Center,5.2079;-52.7724,Ariane 44LP
Telkom 1 ,Indonesia,PT Telkomunikasi,Commercial,Communications,GEO,12-08-99,Guiana Space Center,5.2079;-52.7724,Ariane 44P
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,European Telecommunications Satellite Consortium (EUTELSAT),Commercial,Communications,GEO,20-12-08,Guiana Space Center,5.2079;-52.7724,Ariane 5
Amazonas-2,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,GEO,01-10-09,Guiana Space Center,5.2079;-52.7724,Ariane 5
AMC-18 (Americom 18),United States of America,SES World Skies,Commercial,Communications,GEO,08-12-06,Guiana Space Center,5.2079;-52.7724,Ariane 5
Anik F2 ,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,GEO,18-07-04,Guiana Space Center,5.2079;-52.7724,Ariane 5
Badr 7 (Arabsat 6B),Saudi Arabia/Kuwait/Libya/Qatar/United Arab Emirates/Jordan/Lebanon/Bahrain/Syria/Iraq/Algeria/Yemen/Egypt/Oman/Tunisia/Morocco/Sudan/Mauritania/Palestinian Authority/Somalia/Djibouti,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,10-11-15,Guiana Space Center,5.2079;-52.7724,Ariane 5
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Military,Communications,GEO,01-10-09,Guiana Space Center,5.2079;-52.7724,Ariane 5
COMSATBw-2 (COmmunications SATellite für BundesWehr),Germany,Armed Forces,Military,Communications,GEO,21-05-10,Guiana Space Center,5.2079;-52.7724,Ariane 5
"Eutelsat 33A (Eurobird 3, E-bird) ",France,Eutelsat S.A.,Commercial,Communications,GEO,27-09-03,Guiana Space Center,5.2079;-52.7724,Ariane 5
"Eutelsat 33C (Eutelsat 28A, Eurobird 1, Eurosat 1)",France,Eutelsat S.A.,Commercial,Communications,GEO,08-03-01,Guiana Space Center,5.2079;-52.7724,Ariane 5
"Eutelsat 5 West-A (Atlantic Bird 3, Stellat 5)",France,Eutelsat S.A.,Commercial,Communications,GEO,05-07-02,Guiana Space Center,5.2079;-52.7724,Ariane 5
Eutelsat 65 West-A,France,Eutelsat S.A.,Commercial,Communications,GEO,09-03-16,Guiana Space Center,5.2079;-52.7724,Ariane 5
Eutelsat 8 West B,France/Egypt,Eutelsat S.A./Nilesat,Commercial,Communications,GEO,20-08-15,Guiana Space Center,5.2079;-52.7724,Ariane 5
"Eutelsat 9A (Eurobird 9A, Hot Bird 7A)",France,Eutelsat S.A.,Commercial,Communications,GEO,11-03-06,Guiana Space Center,5.2079;-52.7724,Ariane 5
Eutelsat Hot Bird 13C (Hot Bird 9),France,Eutelsat S.A.,Commercial,Communications,GEO,20-12-08,Guiana Space Center,5.2079;-52.7724,Ariane 5
Galaxy-12,United States of America,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,09-04-03,Guiana Space Center,5.2079;-52.7724,Ariane 5
Galaxy-15,United States of America,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,13-10-05,Guiana Space Center,5.2079;-52.7724,Ariane 5
GSAT-10,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,28-09-12,Guiana Space Center,5.2079;-52.7724,Ariane 5
GSAT-15,India,Indian Space Research Organization (ISRO),Government,Communications,GEO,10-01-15,Guiana Space Center,5.2079;-52.7724,Ariane 5
